ds,yhat,yhat_lower,yhat_upper,segment_type,segment_name
2022-01-01,40508.254298688546,33733.438711424234,47409.56840502894,overall,All Sites & Brands
2022-01-02,50350.24253042157,43653.658175424236,56410.03010469978,overall,All Sites & Brands
2022-01-03,29610.026216280967,22651.4373339387,36709.928764856595,overall,All Sites & Brands
2022-01-04,37397.89313387683,30389.859420307872,43651.40587929208,overall,All Sites & Brands
2022-01-05,29170.43566044525,22097.926167552716,35940.12578125645,overall,All Sites & Brands
2022-01-06,30481.98297191831,23949.438289070153,37349.80701730057,overall,All Sites & Brands
2022-01-07,32170.918561552357,24969.61319011135,39248.05252151013,overall,All Sites & Brands
2022-01-08,36148.916353799475,28949.387509876462,43137.72120571611,overall,All Sites & Brands
2022-01-09,45795.7991506361,38994.98693646767,53007.81809825815,overall,All Sites & Brands
2022-01-10,24937.577455814393,18023.95914561717,31744.383191713052,overall,All Sites & Brands
2022-01-11,32685.531813047368,25807.03451602343,39730.58574767515,overall,All Sites & Brands
2022-01-12,24495.54983872664,17253.493615073778,31322.158520511504,overall,All Sites & Brands
2022-01-13,25919.595905659877,18801.18691774449,33121.97716675712,overall,All Sites & Brands
2022-01-14,27792.106447994818,20437.828688676895,34630.81820165135,overall,All Sites & Brands
2022-01-15,32019.34186089197,25076.14505239806,39484.47322365789,overall,All Sites & Brands
2022-01-16,41974.39545411301,34809.55268629933,49259.24230221742,overall,All Sites & Brands
2022-01-17,21475.413335798603,14696.808046775828,28375.89866982759,overall,All Sites & Brands
2022-01-18,29624.88342529498,22704.97120793268,36582.115890147696,overall,All Sites & Brands
2022-01-19,21869.19920201113,15105.668234446326,28606.115720746107,overall,All Sites & Brands
2022-01-20,23750.370091941837,16866.21366843998,30424.430661188464,overall,All Sites & Brands
2022-01-21,26092.66508945127,19121.74407471253,32792.203040058135,overall,All Sites & Brands
2022-01-22,30792.21407416875,24293.770862386766,37444.37475427476,overall,All Sites & Brands
2022-01-23,41212.260798290234,33682.929864561396,48390.21950905128,overall,All Sites & Brands
2022-01-24,21161.615147155793,13493.162336280939,28407.28306995255,overall,All Sites & Brands
2022-01-25,29734.15696972268,23373.306067385813,36662.09409481637,overall,All Sites & Brands
2022-01-26,22368.591718553886,15681.127987775026,29386.82073248683,overall,All Sites & Brands
2022-01-27,24600.325102308794,17423.925280053772,31492.211651763082,overall,All Sites & Brands
2022-01-28,27248.239446738055,20243.763937430267,34167.273322860965,overall,All Sites & Brands
2022-01-29,32204.393212677052,25563.605491108912,39160.812808117866,overall,All Sites & Brands
2022-01-30,42829.33560244949,35737.08748144952,49459.3246239556,overall,All Sites & Brands
2022-01-31,22930.582827857346,15759.494592044111,30000.648947234025,overall,All Sites & Brands
2022-02-01,31602.108336598878,24632.89893382001,38359.37320807478,overall,All Sites & Brands
2022-02-02,24284.04825995698,17192.542747987052,31802.829045402195,overall,All Sites & Brands
2022-02-03,26514.4912910094,19090.929704912658,33257.45993548953,overall,All Sites & Brands
2022-02-04,29116.13861239093,22101.298373259327,36187.0514141709,overall,All Sites & Brands
2022-02-05,33985.85907450089,27423.48491085212,41108.8070614417,overall,All Sites & Brands
2022-02-06,44489.83602333514,37592.9510756174,50888.38309827784,overall,All Sites & Brands
